# Generated from Wikidata person and family-name labels for selected scholarly occupations.
# name\tkind\tWikidata entity
Abdellah Sbai	label	Q102252716
Abdellah Tnourji	label	Q113297096
Abdellaoui	family	Q41804399
Abdellatif	family	Q123508143
Abdellatif Jouahri	label	Q11956778
Abdellatif Jouini	label	Q102367270
Abdellaziz Harrabi	label	Q102440569
Abdelmajid Ben Hamadou	label	Q61940117
Abdelmajid Khelil	label	Q59858360
Abdelmalek Alaoui	label	Q115646331
Abdelmalek Sayad	label	Q2821183
Abdelmoneim Amer Desouki	label	Q95979381
Abdelmonem A. Afifi	label	Q102189120
Abdelmoubine Amar Henni	label	Q102356923
Abdelmumin Aya	label	Q11903828
Abdelnasser Dahmani	label	Q102078454
Abdelouahad Chbihi	label	Q77543887
Abdelrahman Elogeel	label	Q113667861
Abdelrahman Mahmoud	label	Q134999659
Abdelsalam	family	Q46423842
Abdeltawab Hendawi	label	Q102440107
Abdennour Bidar	label	Q2821215
Abdenour Lounis	label	Q88020815
Abderrahim	family	Q111336911
Abderrahim Boudenne	label	Q112446291
Abderrahim Lamchichi	label	Q113821188
Abderrahman Bouhamidi	label	Q102320596
Abderrahman El Maliki	label	Q137782493
Abderrahmane Alfidja	label	Q41675598
Abderrahmane Bendali	label	Q102229762
Abderrahmane Beroual	label	Q112520642
Abderrahmane Boukenkoul	label	Q102848486
Abderrahmane Hadj-Nacer	label	Q2821254
Abderrahmane Taleb	label	Q12222790
Abderrazak Afilal el-Alami Idrissi	label	Q2821271
Abderrazak Zouari	label	Q2821280
Abderrezak Guessoum	label	Q102410610
Abdeslam Hoummada	label	Q74190630
Abdeslam Seddiki	label	Q16267979
Abdessalam Baliki	label	Q102428383
Abdessalem Abbassi	label	Q101411574
Abdessalem Souiki	label	Q113811514
Abdessamad Abada	label	Q102346987
Abdessamad Saidi	label	Q102257798
Abdessatar Khelifi	label	Q61829421
Abdesselam Adib	label	Q2821303
Abdesslam Boutayeb	label	Q60660040
Abdi	family	Q102400256
Abdi Farah Shirdon	label	Q682738
Abdias Trew	label	Q308164
Abdigani Diriye	label	Q62081681
Abdildina Raushan Zhabaykhanovna	label	Q70251688
Abdillah Toha	label	Q12470537
Abdirahman Beileh	label	Q16199176
Abdisalam Omer	label	Q4665003
Abdiweli Mohamed Ali	label	Q1777401
Abdiweli Sheikh Ahmed	label	Q15302843
Abdo	family	Q113181737
Abdol Hamid Khosro Shahi	label	Q25050859
Abdoldjavad Falaturi	label	Q4665055
Abdolhakim Shouman	label	Q103375312
Abdolhamid Minochehr	label	Q134892847
Abdolhamid Riazi	label	Q102321260
Abdolhossein Hoorfar	label	Q102388627
Abdolhossein Khosropanah	label	Q5958690
Abdolkarim Soroush	label	Q308269
Abdollah Alhevaz	label	Q102429232
Abdollah Javadi Amoli	label	Q4115655
Abdollah Mohammadi	label	Q112336752
Abdollah Riazi	label	Q5940714
Abdollah Sadrudini	label	Q102316288
Abdolmajid Mahdavi Damghani	label	Q60544816
Abdolmohammad Aminpour	label	Q102938883
Abdolnaser Hemmati	label	Q16053240
Abdolrasoul Pourabbas	label	Q102304000
Abdolreza jamilian	label	Q17488197
Abdon Atangana	label	Q133859295
Abdon Calderon Munoz	label	Q61516873
Abdool Karim Vakil	label	Q9560424
Abdoolkarim Vakil	label	Q113821764
Abdou	family	Q58075439
Abdou Filali-Ansary	label	Q55231064
Abdou Maliqalim Simone	label	Q113811949
Abdou Moumouni Dioffo	label	Q47036625
Abdou Rachid Thiam	label	Q92824291
Abdoulaye A. Djimde	label	Q28913759
Abdoulaye Adam	label	Q102196507
Abdoulaye Bibi Baldé	label	Q104603175
Abdoulaye Bio Tchané	label	Q2821361
Abdoulaye Fadiga	label	Q101856697
Abdoulaye Koulibaly	label	Q131293536
Abdoulaye Wade	label	Q106963
Abdourahamane Sanoh	label	Q135189339
Abdourahmane Sarr	label	Q35323270
Abdourahmane Seck	label	Q113782663
Abdoussalam A. Gousseïnov	label	Q4152761
Abdrakhmanov	family	Q12553165
Abdrashit Bigeyev	label	Q4086422
Abdu Al Rahim Damavandi	label	Q23043332
Abdu Beddaa	label	Q102165144
Abduali Abdumannonov	label	Q20604034
Abdugʻafur Mamadalimov	label	Q12826592
Abduhamid Juraev	label	Q4160620
Abdukarim Raupow	label	Q20604065
Abdukerim Haji	label	Q102315070
Abdukhalim Raimjanov	label	Q29359410
Abdul	family	Q112489313
Abdul Abiad	label	Q41804363
Abdul Aliyev	label	Q25542248
Abdul Azeez E P	label	Q99208432
Abdul Aziz	label	Q123860049
Abdul Aziz Al-Hafiz	label	Q64798986
Abdul Bari Nadvi	label	Q12222481
Abdul Basit	label	Q91095556
Abdul Fattaah	label	Q123149192
Abdul Ghanie Ghaussy	label	Q66490716
Abdul Hafeez Shaikh	label	Q2821412
Abdul Hakim (educationist)	label	Q85972259
Abdul Hakim al-Shibli	label	Q130320846
Abdul Halim	label	Q17410337
Abdul Hameed Nayyar	label	Q4665388
Abdul Hameed Toor	label	Q102314183
Abdul Haq Ansari	label	Q952021
Abdul Jabbar Abdullah	label	Q12222509
Abdul Jabbar Al-Chalabi	label	Q62567214
Abdul Jalil M. Khalaf	label	Q61102122
Abdul Jerri	label	Q4665446
Abdul Kadir Aziz	label	Q102196060
Abdul Kareem Yaseen	label	Q102278512
Abdul Karim al-Kabariti	label	Q2067696
Abdul Karim Bangura	label	Q23706328
Abdul Khakee	label	Q112545257
Abdul Khaliq	label	Q103375303
Abdul Latif Al-Humim	label	Q22688702
Abdul Majid	label	Q4665519
Abdul Majid Daryabadi	label	Q4665524
Abdul Malek Shirazi	label	Q5686935
Abdul Malik Karim Amrullah	label	Q5645435
Abdul Mansur M. Masih	label	Q30071119
Abdul Matin Chowdhury	label	Q16344977
Abdul Qadeer Khan	label	Q310773
Abdul Qayyum	label	Q41800270
Abdul Rahim Khan	label	Q102315889
Abdul Rahman	label	Q102291062
Abdul Rahman al Jalili	label	Q61821284
Abdul Rahman Ghassemlou	label	Q317403
Abdul Rahman Munif	label	Q307440
Abdul Rashid	label	Q4665671
Abdul Rasul	label	Q4665674
Abdul Razaque	label	Q21062191
Abdul Razzaq Habayeb	label	Q116224070
Abdul Razzaq Kemal	label	Q50840089
Abdul Rehman	label	Q102707453
Abdul Wahab Al’sherika	label	Q105321171
Abdul-Aziz Yakubu	label	Q12887000
Abdul-Hadi Al-Dhaher	label	Q62573492
Abdul-Karim Ahmed Amer	label	Q125394703
Abdul-Lateef Haji-Ali	label	Q102450043
Abdul-latif Al Shawaf	label	Q64079279
Abdul-Majid Bhurgri	label	Q4665228
Abdul-Rahman Al-Habeeb	label	Q65966850
Abdul-Razzak Kaddoura	label	Q138454476
Abdul-Razzaq Al-Dhaher	label	Q62573777
Abdula Ismailov	label	Q115920703
Abdulah Šarčević	label	Q317471
Abdulai	family	Q37647257
Abdulalim Abdullah Shabazz	label	Q4665781
Abdulamir Alaasam	label	Q25454281
Abdulaziz Al Muammar	label	Q106642712
Abdulaziz Al-Saqqaf	label	Q4665793
Abdulaziz Alsenafi	label	Q102472862
Abdulaziz Alshaer	label	Q121892579
Abdulbaset Sieda	label	Q317500
Abdulcadir Issa	label	Q12886995
Abdulfattah Aminzade	label	Q133289041
Abdulghaphor Hajjieh	label	Q112127373
Abdulhadi	family	Q102182252
Abdulhafiz Jalolov	label	Q31283827
Abdulhay Valiyev	label	Q12831515
Abdulkarim Alizadeh	label	Q16378334
Abdulkarim Zanjani	label	Q1377563
Abdulkeni Zekeria	label	Q25581020
Abdulkhalim Salamov	label	Q20233148
Abdulkhamid Nozimov	label	Q61135712
Abdulkhan Akhtamzyan	label	Q4073183
Abdulla Abbas	label	Q12835337
Abdulla Akhundov	label	Q31302284
Abdulla Garayev	label	Q7258847
Abdulla Həşimov	label	Q16364144
Abdulla Kapidani	label	Q20557775
Abdulla Mehrabov	label	Q16364150
Abdulla Vəliyev	label	Q18427605
Abdulla-Al-Asif	label	Q116678790
Abdullaev	family	Q112486729
Abdullaev Alisher Vohidovich	label	Q13200886
Abdullah	family	Q57418165
Abdullah A. A. Abduh	label	Q102261401
Abdullah Adl Esfandiari	label	Q85899241
Abdullah al-Dardari	label	Q4666080
Abdullah Al-Hassan	label	Q102876548
Abdullah al-Qasemi	label	Q2821444
Abdullah Al-Quwaiz	label	Q108411851
Abdullah Al-Salloum	label	Q36324956
Abdullah al-Tawil	label	Q97302388
Abdullah bin Shuraik	label	Q20413672
Abdullah Gül	label	Q42852
Abdullah Harmancı	label	Q102261015
Abdullah Isa Neil Dougan	label	Q4666010
Abdullah Islam	label	Q113667865
Abdullah Kaygı	label	Q113765336
Abdullah Nasser bin Khalifa al-Harrasi	label	Q114587554
Abdullah Odeh Al-Zaghameem	label	Q102466679
Abdullah Saad Al-Azemi	label	Q102311430
Abdullah Saad AL-Malaise AL-Ghamdi	label	Q134462240
Abdullah Sadiq	label	Q4666055
Abdullah Türkoğlu	label	Q137549062
Abdullah Yavaş	label	Q30074561
Abdullah Yazdi	label	Q5847560
Abdullah Zararsız	label	Q137268130
Abdullah Çavuş	label	Q137507730
Abdullah Əhmədov	label	Q12835356
Abdullahi Muhammad Aliyu	label	Q123689626
Abdullahi Umar	label	Q102267961
Abdullan Sulaiman Alhamdan	label	Q12223501
Abdullateef Bello	label	Q125356316
Abdullayev	family	Q12817141
Abdullayev Joʻra Abdullayevich	label	Q20532978
Abdulle	family	Q745708
Abdullin	family	Q12526377
Abdullo Jaqubow	label	Q20604093
Abdullodschon Oripow	label	Q20604125
Abdulloev	family	Q13200886
Abdullojon Ishoqov	label	Q22246820
Abdulmenaf Bexheti	label	Q25738478
Abdulmotaleb El Saddik	label	Q28086033
Abdulnasser Hatemi-J	label	Q30071891
Abdulrahman Al-Ahmari	label	Q46534617
Abdulrahman Alreshidi	label	Q102493836
AbdulRasak Rofiat	label	Q123692618
Abdulrehman Siddiqui	label	Q106630989
Abdulsalam mohammed	label	Q105373424
Abdulsalam Yau Gital	label	Q123485809
Abdulwahab	family	Q123688194
Abdulwahab Ahmad	label	Q123688194
Abdumannonov	family	Q20604034
Abdumauvlen Suleimanovich Berdyshev	label	Q102394639
Abdumavlon Abdullayev	label	Q12817141
Abdur R. Chowdhury	label	Q30078493
Abdur Rahim	label	Q137114074
Abdurahim Poʻlatov	label	Q71164309
Abdurahim Rahimow	label	Q20604285
Abdurahmon Husaynov	label	Q61134210
Abdurakhman Daniyalov	label	Q4154843
Abdurrahman Ali El Yumin	label	Q88879705
Abdurrahman Aydemir	label	Q41803146
Abdurrahman Gulahmadov	label	Q16378412
Abdus Salam	label	Q28189
Abdusalam Abu Bakr	label	Q4666329
Abdusalom Kurbonov	label	Q25612358
Abdusalom Valiyev	label	Q19918186
Abdusamad Khasanovich Samiev	label	Q19758755
Abdusharif Boqizoda	label	Q31456894
Abduvalí Davronov	label	Q22672319
Abduwohid Rosiqow	label	Q20604057
Abdygany Erkebaev	label	Q13175103
Abdyl Këllezi	label	Q317983
Abdyl Xhaja	label	Q58494614
Abdyrakhman Mavlyanov	label	Q4273818
Abdón Espinosa Valderrama	label	Q57634167
Abdülbâkî Ârif Efendi	label	Q123581714
Abdüllatif Şener	label	Q317853
Abdülğaffar Qırımiy	label	Q4054428
Abe	family	Q112421602
Abe Davis	label	Q23769266
Abe de Jong	label	Q117104070
Abe Gelbart	label	Q11100642
Abe Rothman	label	Q107488095
Abe Sapien	label	Q2755277
Abe Shenitzer	label	Q102188395
Abe Sklar	label	Q14491904
Abeba Birhane	label	Q105834628
Abebaw Mengistu Yohannes	label	Q60398557
Abebe	family	Q114442762
Abebe Aemro Selassie	label	Q114442762
Abecasis	family	Q47696649
Abecassis	family	Q28880415
Abeck	family	Q102343221
Abed Azzam	label	Q113829265
Abedi	family	Q113734363
Abedin	family	Q92954902
Abeer A. Raweh	label	Q134967291
Abeer Al Ahmadieh	label	Q120015719
Abeer Odeh	label	Q27146386
Abegg	family	Q76771
Abegglen	family	Q10995023
Abeille	family	Q2790172
Abeken	family	Q104169
Abel	family	Q102285190
Abel Aganbegyan	label	Q318430
Abel Amirbekyan	label	Q102306559
Abel Aurelio Gutarra Espinoza	label	Q123197013
Abel Berhe Embaye	label	Q103274671
Abel Brodeur	label	Q115623824
Abel Buguet	label	Q95255622
Abel Burja	label	Q92076
Abel Caballero	label	Q2821496
Abel Carvalho	label	Q102423533
Abel Ernesto Lucena	label	Q102639749
Abel François	label	Q111955886
Abel Gomes	label	Q64025137
Abel Guobadia	label	Q4666569
Abel Kinyondo	label	Q88865646
Abel Niepce de Saint-Victor	label	Q138003
Abel Pires	label	Q35711045
Abel Polese	label	Q59448880
Abel Rey	label	Q2821533
Abel Rodriguez	label	Q98934770
Abel Salazar	label	Q4357361
Abel Transon	label	Q2821541
Abel-Musgrave	family	Q68183
Abel-Théodore Chauvin	label	Q122811532
Abela	family	Q136556535
Abelard	family	Q4295
Abelardo Aguilar	label	Q25561779
Abelardo de Unzueta y Yuste	label	Q88072626
Abelardo Villegas	label	Q59532139
Abele	family	Q59491296
Abeles	family	Q15869294
Abelev	family	Q105443489
Abelishvili	family	Q23756348
Abell	family	Q102173246
Abella	family	Q6075803
Abellanas	family	Q27077369
Abellio	family	Q2487707
Abello	family	Q63970106
Abellán	family	Q9014002
Abelló	family	Q75350367
Abelovszky	family	Q136312222
Abels	family	Q102395151
Abelson	family	Q377815
Aben Essamej	label	Q5655013
Abena Oduro	label	Q77021864
Abendroth	family	Q25902941
Abensour	family	Q3312923
Abera Gelan	label	Q102695294
Abercrombie	family	Q4718173
Abercromby	family	Q4756170
Aberer	family	Q96619668
Aberle	family	Q1510385
Abernathy	family	Q16010261
Abernethy	family	Q102147630
Aberra Molla	label	Q13144767
Abesadze	family	Q102426999
Abesalom Manjavidze	label	Q134288385
Abetti	family	Q454243
Abgaryan	family	Q32979575
Abgrall	family	Q97573459
Abhas Mitra	label	Q2654469
Abhay Ashtekar	label	Q1294713
Abhay Bhushan	label	Q4667338
Abhay Jha	label	Q113667691
Abhay Sharma	label	Q112538040
Abhay Vardhan	label	Q102440823
Abhaya Induruwa	label	Q4667345
Abheda Nanda Bhattacharya	label	Q113786581
Abhee Kanti Dutt Mazumder	label	Q45747289
Abhi Shelat	label	Q102411408
Abhijeet Mohapatra	label	Q61244090
Abhijit A. Mahabal	label	Q103339520
Abhijit Ashok Champanerkar	label	Q102187008
Abhijit Banerjee	label	Q320578
Abhijit Basu	label	Q115803751
Abhijit M Pawde	label	Q131144627
Abhijit Sahay	label	Q102305724
Abhijit Sen	label	Q114352405
Abhijith Ajayakumar	label	Q134443715
Abhik Roychoudhury	label	Q102264148
Abhimanyu Gupta	label	Q102413877
Abhinanda Sarkar	label	Q102196659
Abhinandan Sridhara Rao Prasad	label	Q102955354
Abhinav Bhatele	label	Q102367532
Abhinav Kumar	label	Q12887003
Abhinav Srivastava	label	Q102407038
Abhinav Valada	label	Q57451852
Abhinay Muthoo	label	Q15999756
Abhiroop Mukhopadhyay	label	Q4667454
Abhirup Datta	label	Q64867339
Abhisek Saha	label	Q102552203
Abhishek Anand	label	Q102868166
Abhishek Bhan Sharma	label	Q102381245
Abhishek Bhattacharya	label	Q102355384
Abhishek Bichhawat	label	Q103129063
Abhishek Dhar	label	Q21964526
Abhishek Jain	label	Q102737321
Abhishek Kar	label	Q102998325
Abhishek Kumar	label	Q102669900
Abhishek Leela Pandey	label	Q138787922
Abhishek Pandey	label	Q60041875
Abhishek Roy	label	Q94275033
Abhishek Saha	label	Q61159841
Abhishek Shukla	label	Q102987499
Abhishek Singh Rana	label	Q139227019
Abhishiktananda	label	Q3131453
Abhisit Vejjajiva	label	Q174267
Abhizna Butchibabu	label	Q102721844
Abhronil Sengupta	label	Q140419384
Abhyankar	family	Q899635
Abhyuday Mandal	label	Q102273936
Abi Adams	label	Q112553292
Abia	family	Q102669169
Abian	family	Q339342
Abiathar Crescas	label	Q4667550
Abibatou Traoré	label	Q2821603
Abibi	family	Q5216344
Abicht	family	Q4730107
Abid Ali Kazi	label	Q4667572
Abid Hussain	label	Q4667580
Abid M. Malik	label	Q102340408
Abid Yahya	label	Q87529677
Abidin Gadzhiyev	label	Q28359332
Abigail A. Salyers	label	Q93373522
Abigail Barr	label	Q29570540
Abigail Hoit	label	Q102221585
Abigail Morrison	label	Q98719707
Abigail Okrent	label	Q120081188
Abigail Sellen	label	Q41709196
Abigail Tay	label	Q103299035
Abigail Thompson	label	Q321129
Abigail Vieregg	label	Q76769029
Abigail Wozniak	label	Q41798915
Abilov	family	Q128095029
Abimael Guzmán	label	Q321322
Abimbola Abolarinwa	label	Q102423249
Abimbola Salako	label	Q102265842
Abimbola Sylvester Young	label	Q102276605
Abinader	family	Q16594097
Abiodun Olusola Omotayo	label	Q98173514
Abiola Asaleye	label	Q92971793
Abiola Paterne Chokki	label	Q123852701
Abiosi	family	Q1525792
Abir Al-Tabbaa	label	Q59304503
Abir Ayache	label	Q48644275
Abishek Sankararaman	label	Q103299815
Abishiin Mekei	label	Q24844926
Abiteboul	family	Q3479163
Abiyev	family	Q54397065
Abiyun al-Bitriq	label	Q20551608
Abjean	family	Q15973141
Ablassé Ouédraogo	label	Q2821663
ABM Bazlur Rahman	label	Q131921103
Abner of Burgos	label	Q322560
Abner Shimony	label	Q2903381
Abner Soffer	label	Q60375427
Abney	family	Q112343845
Aboab	family	Q1673399
Abolfazl Bayat	label	Q112163053
Abolghasem Fanaei	label	Q5953812
Abolghasem Ghaffari	label	Q5938304
Abolhassan Banisadr	label	Q273866
Abolhassan Fereydooni	label	Q102403428
Abolhassan Ziyā-Zarifi	label	Q4668261
Abonyi	family	Q112422477
Abou	family	Q102431599
Abou Abdallah es-Siqili	label	Q2821725
Aboubacar Bagayogo	label	Q25581018
Aboubakar Maitournam	label	Q12887010
Aboubakr Bayoumi	label	Q12177868
Aboubakr Lbekkouri	label	Q64438668
Aboudrahyme Savadogo	label	Q136324963
Aboul Ella Hassanien	label	Q83515510
Aboulker	family	Q107324986
Abowd	family	Q15126236
Abowitz	family	Q125919104
Abragam	family	Q487491
Abraham	family	Q102316243
Abraham A. Ungar	label	Q102256902
Abraham Abulafia	label	Q323448
Abraham Adler	label	Q323428
Abraham Adolf Jacobus	label	Q116764385
Abraham Adrian Albert	label	Q323442
Abraham Alikhanov	label	Q331056
Abraham Anton Grünbaum	label	Q102240660
Abraham Araujo	label	Q26720989
Abraham bar Hiyya	label	Q31439
Abraham Battus	label	Q329749
Abraham ben David of Posquières	label	Q330769
Abraham ben Judah Leon	label	Q91791820
Abraham Bennet	label	Q329763
Abraham Berman	label	Q102123501
Abraham Bernstein	label	Q26001299
Abraham Bers	label	Q102241118
Abraham Bibago	label	Q329773
Abraham Blaugrund	label	Q6535509
Abraham Boots	label	Q100371335
Abraham Bos	label	Q16106184
Abraham Broer	label	Q100973439
Abraham Brook	label	Q4668784
Abraham Calovius	label	Q63428
Abraham Charnes	label	Q15781333
Abraham Cohen	label	Q102193790
Abraham Cohen de Herrera	label	Q329866
Abraham Cornelius	label	Q4668817
Abraham David Hannath Kaplan	label	Q104193122
Abraham David Yoffe	label	Q95001318
Abraham de Grau	label	Q92768434
Abraham de Moivre	label	Q200397
Abraham Drabkin	label	Q22344328
Abraham E. Nwankwo	label	Q135103702
Abraham Eberlen	label	Q56284261
Abraham Edel	label	Q4668839
Abraham Esau	label	Q99622
Abraham Fisher	label	Q112467729
Abraham Fletcher	label	Q4668855
Abraham Flexner	label	Q210100
Abraham Fraenkel	label	Q61043
Abraham Friedrich Rückersfelder	label	Q94889595
Abraham George Silverman	label	Q4668874
Abraham Ginzburg	label	Q99848670
Abraham Goetz	label	Q102123014
Abraham Goldberg	label	Q107488096
Abraham Gotthelf Kästner	label	Q61813
Abraham Gottwert Jorke	label	Q131866696
Abraham Goudeket	label	Q88384048
Abraham Guillén	label	Q205381
Abraham Gulich	label	Q330048
Abraham H. Haddad	label	Q4668886
Abraham H. Taub	label	Q330060
Abraham Hackman	label	Q102198429
Abraham Heinick	label	Q131866621
Abraham Heinrich Deutschmann	label	Q105302167
Abraham Hülphers	label	Q5818751
Abraham ibn Daud	label	Q330821
Abraham ibn Ezra	label	Q270670
Abraham Irving Melden	label	Q59628877
Abraham Isaac Kook	label	Q330110
Abraham J. Wyner	label	Q102169828
Abraham Johannes Andries Roux	label	Q95282096
Abraham Joseph Menz	label	Q55603100
Abraham Joshua Heschel	label	Q215833
Abraham Kandel	label	Q102121841
Abraham Kaplan	label	Q4668951
Abraham Karrass	label	Q47146022
Abraham Katzir	label	Q11180198
Abraham King	label	Q136001946
Abraham Klein	label	Q330161
Abraham Kogan	label	Q7052278
Abraham Kovoor	label	Q330179
Abraham Lempel	label	Q92847
Abraham Leonardo Gak	label	Q5655281
Abraham Lioui	label	Q30084576
Abraham Livni	label	Q7054330
Abraham Luzzatto	label	Q94990341
Abraham Manie Adelstein	label	Q4669074
Abraham Mansbach	label	Q119506584
Abraham Moles	label	Q330407
Abraham Naftali Oppenheim	label	Q105611572
Abraham Nemeth	label	Q4669109
Abraham Neyman	label	Q17425289
Abraham Niclas Edelcrantz	label	Q330454
Abraham Niederländer	label	Q56282012
Abraham of Beth Rabban	label	Q330870
Abraham of Worms	label	Q330911
Abraham Otero	label	Q112532296
Abraham Othman	label	Q102398160
Abraham P. Hillman	label	Q102175550
Abraham P. Punnen	label	Q102303640
Abraham Pais	label	Q330492
Abraham Pascalis	label	Q131599544
Abraham Plessner	label	Q330511
Abraham Rees	label	Q922838
Abraham Robertson	label	Q4669154
Abraham Robinson	label	Q330567
Abraham Rotstein	label	Q4669156
Abraham Rubín	label	Q20533534
Abraham Sachs	label	Q330562
Abraham Sagie	label	Q59524729
Abraham Seiden	label	Q89374340
Abraham Seidenberg	label	Q330593
Abraham Sharp	label	Q330614
Abraham Siegel	label	Q4669176
Abraham Silberschatz	label	Q4669179
Abraham Simama	label	Q124834489
Abraham Simuel	label	Q5641363
Abraham Sinkov	label	Q330622
Abraham Skorka	label	Q7276226
Abraham Solomon ben Isaac ben Samuel Catalan	label	Q4669185
Abraham Stern	label	Q330631
Abraham Strauss	label	Q121898109
Abraham Stupp	label	Q2901706
Abraham Tekeste	label	Q125506180
Abraham Tucker	label	Q2821859
Abraham van Bemmelen	label	Q55902369
Abraham van der Sluis	label	Q15781336
Abraham Van Helsing	label	Q1622359
Abraham von Humbert	label	Q330879
Abraham Wagner	label	Q121898125
Abraham Wald	label	Q240772
Abraham Weintraub	label	Q63039824
Abraham Wickelgren	label	Q28408195
Abraham Willemsz van Beyerland	label	Q106548768
Abraham Wolf	label	Q21077040
Abraham Wolff	label	Q330711
Abraham Yagel	label	Q4669241
Abraham Zacuto	label	Q330740
Abraham Zaks	label	Q95765487
Abraham Zelmanov	label	Q4190540
Abraham Ziv	label	Q18763791
Abraham Zvie Bar-On	label	Q16129224
Abraham-Louis Breguet	label	Q123679
Abrahams	family	Q102234883
Abrahamsen	family	Q102479524
Abrahamson	family	Q138537949
Abrahamsson	family	Q57419564
Abrahamyan	family	Q2633067
Abram	family	Q1173524
Abram A. Slutskin	label	Q331019
Abram Anikst	label	Q4066264
Abram Bakhchagulyan	label	Q4079967
Abram Bergson	label	Q4084032
Abram Besicovitch	label	Q331089
Abram Brodsky	label	Q29939094
Abram Bunimovich	label	Q18638946
Abram Davidovich Katsman	label	Q102434415
Abram Deborin	label	Q129126
Abram Dubovitsky	label	Q18238999
Abram Efimovič Probst	label	Q4379559
Abram Fet	label	Q3710034
Abram Filippovich Chudnovsky	label	Q106700143
Abram Ginzburg	label	Q18634207
Abram Hindle	label	Q102434661
Abram Ioffe	label	Q331067
Abram Jaffe	label	Q107488093
Abram Kagan	label	Q4207095
Abram Khaimovich Livshits	label	Q102365283
Abram Kikoin	label	Q15068594
Abram Kornev	label	Q4233240
Abram L. Friesen	label	Q113667719
Abram Lincoln Harris	label	Q2821886
Abram Lopshits	label	Q24924630
Abram Lurye	label	Q4269719
Abram Lyass	label	Q18543552
Abram Markovich Kats	label	Q123478221
Abram Mileykovsky	label	Q4293379
Abram Raskin	label	Q4390137
Abram Shevelev	label	Q12171439
Abram Shlemovich Dorfman	label	Q112452238
Abram Stolyar	label	Q4443008
Abram Turetskiy	label	Q16708470
Abram Venable Martin	label	Q66395572
